baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lgals9	4674.29729662504	0.169761990660816	1.78923895076257	0.0948794405512268	0.924410586901783	0.999114747917564
Araf	2448.3563091923	-0.309334419425234	1.90083415006074	-0.162736143716352	0.870726187741774	0.999114747917564
Pcnt	1230.76696413111	0.10625432447701	2.04478715297479	0.0519635133282353	0.958557766262055	0.999114747917564
Mxd1	12787.130432882	-0.250750517877962	0.454315909668343	-0.551929863211292	0.58099640717829	0.999114747917564
Snrnp27	220.736053791573	0.21268540277756	1.26506091710632	0.168122657100223	0.866486785255359	0.999114747917564
Calm1	15431.8644489709	0.110541017639825	0.249349738850712	0.443317158258613	0.657536346734557	0.999114747917564
Gramd1a	7542.7580566443	0.778233984228156	1.28883586905689	0.603827068219038	0.54595862123506	0.999114747917564
Ckb	31805.5519441464	2.62288316809515	0.930228700817986	2.81961109755993	0.00480818835569576	0.164441083652562
Itgb7	74317.590015528	1.06622102846501	0.274647025723342	3.88215028237384	0.000103536855454849	0.00809711305480231
Pfdn5	3294.34377329707	-0.586188555363432	0.571693360845988	-1.02535484144156	0.3051957878062	0.999114747917564
Acp5	4244.54565679854	-1.51475941368814	1.27425608679584	-1.18874018290707	0.234541923035184	0.999114747917564
Hars	1925.25164585264	0.664228075882229	1.98642830345631	0.334383110997007	0.738090482156304	0.999114747917564
Zmat2	639.215470359179	1.09207793408744	1.61946091337963	0.674346583523524	0.500090994422088	0.999114747917564
Cct3	4037.75286144993	-1.16900460130293	0.927863406468329	-1.25988867882228	0.207709523319675	0.999114747917564
Glmp	5171.51761156355	0.201287285220751	1.29557622140568	0.155365066057138	0.876533522959606	0.999114747917564
Mef2d	1553.06287095617	-0.691573208342785	1.71133972102351	-0.404112170042527	0.686130236033403	0.999114747917564
Snd1	3921.36207014594	1.07402289375971	1.21362381890209	0.884971831494975	0.376171824032053	0.999114747917564
Cyp51	1438.76411548702	0.338783800023387	1.48808510624702	0.227664263691078	0.819907256326588	0.999114747917564
Tcf25	6977.99405939646	0.820983041624934	1.27749109924645	0.642652651051114	0.520449510948955	0.999114747917564
Tubb5	13547.4871694759	-0.145659048862347	0.538285898538251	-0.270597928085973	0.786700289543131	0.999114747917564
Ell2	378.158738930542	0.653338892972957	1.40144568886124	0.466189234563799	0.641080054440679	0.999114747917564
Ergic1	2595.19067882922	0.579394419298944	1.6979459866461	0.341232538523445	0.732928529506521	0.999114747917564
Acap1	14966.0097719946	0.333399732683808	0.470126220886366	0.709170681982433	0.478218564719464	0.999114747917564
Ifrd1	4707.91265249023	-0.168051892141481	0.476881018786711	-0.352397947330849	0.724539841175571	0.999114747917564
Akr1b3	3031.28319229221	0.167426110851477	1.52973097338303	0.109448075357467	0.912847104123276	0.999114747917564
Ddx18	428.884947958939	0.315667542118058	1.94264932957896	0.162493321523177	0.870917387039859	0.999114747917564
Ubl3	4828.57718827232	-0.253327248746607	0.558171187616963	-0.453852248856044	0.649935174458985	0.999114747917564
Gramd3	4478.01607991044	-7.73537802472372	1.5763811159226	-4.90704814120821	9.24573452102069e-07	0.000112797961156452
Il16	2439.74462384936	-0.990252990449658	1.67096925676663	-0.592621908775165	0.553434213550184	0.999114747917564
Tcirg1	4958.87291556905	-0.974026616861876	2.0345182535047	-0.47875049298968	0.632116140067063	0.999114747917564
Crnkl1	547.564052638268	-0.234772698379553	1.55259949161484	-0.151212659573506	0.87980796422918	0.999114747917564
Chordc1	290.547331086461	0.492257422438566	1.86970953680783	0.263280158092899	0.792334651906026	0.999114747917564
Rtcb	2171.62450918203	-2.09688009425765	1.71302169316896	-1.22408262698564	0.220921059079692	0.999114747917564
Sept7	233.484624175313	-0.998813361600177	0.972567002057425	-1.02698668522295	0.304426733763035	0.999114747917564
Zdhhc4	659.760456692614	0.145336043488729	2.56714432759567	0.0566138965879053	0.954852764424109	0.999114747917564
Rac1	4443.10053826297	-0.757500170054005	0.47772466730477	-1.58564173444858	0.112820603315455	0.898440835801923
Slc1a5	8852.70110348085	-0.244132004844124	0.430062897623094	-0.567665813985378	0.570261908764136	0.999114747917564
Uba1	5501.33106757758	0.172250153857406	1.01762112317641	0.169267470902867	0.865586261209562	0.999114747917564
Emd	4599.64755101071	0.423349379432032	0.982718827718387	0.430794004847691	0.66661815911604	0.999114747917564
Idh3g	4821.64168273712	0.758599440060684	1.32249411943841	0.573612713214045	0.566229906812834	0.999114747917564
Ssr4	2428.30276008769	-0.640449303380242	0.985809248879386	-0.649668588632406	0.51590631808986	0.999114747917564
Bcap31	2864.35353161132	0.805560563654692	0.981532798148153	0.820716908466568	0.411807537352971	0.999114747917564
Cd3g	9464.54731916885	0.673225841543384	0.380944863699473	1.76725270687595	0.0771859162859661	0.771859162859661
Supt6	1448.40229654563	3.33620187567528	1.65350039120151	2.01766016713854	0.0436266659859733	0.619769111322406
Sdf2	2050.62559465199	6.23497856844667	2.28264253257303	2.73147392965578	0.00630517292160437	0.188174577234753
Psmc3	4546.71697026409	0.917549833581849	1.18834122624004	0.7721265688013	0.440039467558709	0.999114747917564
Celf2	2685.64769467	0.118477017414053	0.817374337459849	0.144948296006263	0.884751694352296	0.999114747917564
Ddb2	765.352465245191	-0.710276532493368	2.19891837249066	-0.323011777689981	0.746686322479954	0.999114747917564
Stat6	5647.38252194463	-0.0679755888472527	0.630436070673494	-0.107823127529227	0.914135996724784	0.999114747917564
Rhoc	884.274669064428	1.52092796659268	2.2882309669939	0.664674147204096	0.506258932862615	0.999114747917564
Def6	4877.48017395696	-1.46798064431222	1.74081156577064	-0.843273719670144	0.399075377175176	0.999114747917564
Mdp1	1678.88357717128	-0.79446225236675	1.58714188965143	-0.500561580251171	0.616679707114132	0.999114747917564
Borcs8	902.959796530634	0.767351411562738	1.7104748525086	0.448618937856545	0.653706570042527	0.999114747917564
Ndufa11	2925.78391558857	0.452624291327067	1.29307263737631	0.35003779234356	0.72631033541213	0.999114747917564
Use1	6005.68808997261	-0.50034534386769	0.694027812663154	-0.720929816843713	0.470952696655607	0.999114747917564
Ndufb2	418.478629314649	0.996272433800603	1.17297694142908	0.849353809621189	0.395684447220722	0.999114747917564
