baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mef2d	1553.06287095617	-0.435257407804609	1.71135638262952	-0.254334755882834	0.799236951063691	0.999273910133604
Snd1	3921.36207014594	1.36349886948351	1.21362989246253	1.12348820505475	0.261230207202752	0.999273910133604
Cyp51	1438.76411548702	-1.42604870875549	1.48826730624463	-0.958193936513906	0.337964974203118	0.999273910133604
Tcf25	6977.99405939646	1.02036873412031	1.2774969969214	0.798724957146098	0.424449912152172	0.999273910133604
Tubb5	13547.4871694759	-0.303088747764242	0.538298563016702	-0.563049520447704	0.57340116378049	0.999273910133604
Ell2	378.158738930542	0.489094559508133	1.40158648332157	0.348957816965419	0.727120978419339	0.999273910133604
Ergic1	2595.19067882922	0.256576421787023	1.69798386200987	0.151106513747026	0.879891694276952	0.999273910133604
Acap1	14966.0097719946	0.460986755311959	0.470132704721892	0.980546026009096	0.326816661966799	0.999273910133604
Ifrd1	4707.91265249023	0.00584302208916976	0.476898059837865	0.0122521406171295	0.990224450741433	0.999273910133604
Akr1b3	3031.28319229221	0.859466642089885	1.52972805861826	0.561842764959287	0.574223152273988	0.999273910133604
Ddx18	428.884947958939	0.275193087629251	1.94276165528307	0.141650462824867	0.887356105202682	0.999273910133604
Ubl3	4828.57718827232	-0.702411952021767	0.558223880784337	-1.25829792705184	0.208284030578013	0.999273910133604
Gramd3	4478.01607991044	-3.30739052494999	1.57491979432905	-2.10003743483268	0.0357255482179557	0.619107511731619
Il16	2439.74462384936	0.46958709203833	1.67093444732679	0.281032623864802	0.778685377526524	0.999273910133604
Tcirg1	4958.87291556905	-0.872560559214243	2.03453717262173	-0.428874227984664	0.668014756447179	0.999273910133604
Crnkl1	547.564052638268	0.00759102596620986	1.55263455069486	0.00488912601024665	0.996099057381676	0.999273910133604
Chordc1	290.547331086461	0.846845606718018	1.86974341447016	0.452920759160953	0.650605802122389	0.999273910133604
Rtcb	2171.62450918203	-0.0863906519677431	1.71290742569421	-0.0504350968837272	0.959775668694899	0.999273910133604
Sept7	233.484624175313	-0.578006926856394	0.972584880910412	-0.594299724580683	0.552311662820974	0.999273910133604
Zdhhc4	659.760456692614	0.89013669128673	2.56713845016053	0.346742767703498	0.728784577203625	0.999273910133604
Rac1	4443.10053826297	-0.854312654048884	0.477767806317239	-1.78813357190002	0.0737544603849959	0.823996718586951
Slc1a5	8852.70110348085	0.109437334072793	0.430066430239604	0.254466115878475	0.799135478295549	0.999273910133604
Uba1	5501.33106757758	0.121956393030098	1.01763459173984	0.119843010467628	0.904607510024193	0.999273910133604
Emd	4599.64755101071	0.160936839872762	0.982742603194554	0.163762962295124	0.869917749783692	0.999273910133604
Idh3g	4821.64168273712	1.27012641682557	1.32249575709164	0.960401127954291	0.336853370645462	0.999273910133604
Ssr4	2428.30276008769	-0.685008280419422	0.98584372302691	-0.694844694366151	0.487152635243963	0.999273910133604
Bcap31	2864.35353161132	0.367110533046492	0.981574308945289	0.374001774191661	0.708402996203183	0.999273910133604
Cd3g	9464.54731916885	0.173839964590012	0.380979266987305	0.456297703454305	0.648175915158934	0.999273910133604
Supt6	1448.40229654563	4.42264470247189	1.65347468837161	2.67475803142015	0.00747832031575566	0.284909348348508
Sdf2	2050.62559465199	4.03460476339721	2.28274487140837	1.7674356928499	0.0771552897936996	0.84002343246644
Psmc3	4546.71697026409	0.585212782489544	1.18836039056331	0.492453961892941	0.622398460018959	0.999273910133604
Celf2	2685.64769467	0.171300138491677	0.817402401539086	0.209566473219477	0.83400604903688	0.999273910133604
Ddb2	765.352465245191	-1.11976812338932	2.19903096537695	-0.509209802417392	0.610605172894263	0.999273910133604
Stat6	5647.38252194463	-0.288893747933862	0.63046239787604	-0.458225183463937	0.646790668847041	0.999273910133604
Rhoc	884.274669064428	2.60469436932026	2.28820883937498	1.13831147074483	0.254990445881221	0.999273910133604
Def6	4877.48017395696	-1.31108132604691	1.74082459777032	-0.753138097730333	0.451366932845378	0.999273910133604
Mdp1	1678.88357717128	-0.0151424882630813	1.58712774806647	-0.00954081250329643	0.992387648494664	0.999273910133604
Borcs8	902.959796530634	0.0888242986996832	1.71056503505324	0.0519268761371112	0.958586959099058	0.999273910133604
Ndufa11	2925.78391558857	0.660044854699503	1.2930830351152	0.510442745574106	0.609741316464153	0.999273910133604
Use1	6005.68808997261	-0.277412325206575	0.694036556367756	-0.399708520626657	0.689371215591557	0.999273910133604
Ndufb2	418.478629314649	0.304530726921372	1.17332916187053	0.259544155909231	0.795215417391714	0.999273910133604
Prpf6	1800.5442111528	2.85086839316596	2.27025073676233	1.25575045390434	0.209206460235361	0.999273910133604
Rgs19	1179.16551238417	0.342781845631567	2.43075097513915	0.141018906970487	0.887855005998258	0.999273910133604
Snrpd1	156.143969832077	-0.712703460019185	0.802747753203311	-0.887829903198346	0.374632255053109	0.999273910133604
Puf60	10526.9871604687	-0.149699226732717	0.385181174635643	-0.388646269834769	0.697537833953927	0.999273910133604
Mien1	1558.45642032769	-0.154268028921035	1.24005568138165	-0.124404114458112	0.900995315790695	0.999273910133604
Ccdc97	1848.24512589019	-0.52214288810032	2.00607546557885	-0.260280780588509	0.794647196698038	0.999273910133604
Akap8l	3292.72699959127	-0.493538182377766	1.5743260915594	-0.313491712437355	0.753907116124651	0.999273910133604
Gtf2f1	1567.88089145971	-0.0404090954618814	2.08195986172521	-0.0194091616292721	0.984514701862761	0.999273910133604
Dennd1c	3340.809669244	0.311711849391688	1.04479940465878	0.298346120797696	0.76543900681544	0.999273910133604
Lcp2	8953.33100833813	0.350997943898798	0.55693238398489	0.630234394680704	0.528541239095781	0.999273910133604
Mea1	2472.04203437943	-0.253959151393602	1.28713887702956	-0.197305167240139	0.843588735956421	0.999273910133604
Kdelr1	1078.86547452711	0.841081110043232	1.7291042525662	0.486425910291392	0.626665223664867	0.999273910133604
Flii	4290.94777664152	1.5501832276153	1.98623372484222	0.780463652503149	0.435118013996695	0.999273910133604
Adprh	964.794857011432	-0.977322069777668	2.42577175083521	-0.402891190995678	0.687028271987595	0.999273910133604
Tpra1	2014.54253680509	1.33856512694256	2.18796394876244	0.611785732438452	0.540679530639646	0.999273910133604
Adgre5	11526.2399585026	0.738347009763393	0.468609959970355	1.57561100453371	0.115115478466259	0.992085973251993
Il17ra	3137.75358660254	-0.301877085744119	1.71033072919883	-0.176502170364165	0.859899443745644	0.999273910133604
Map2k7	388.155586638558	-2.27540606703981	2.00983164904584	-1.13213764352852	0.257576570963875	0.999273910133604
Ap2a2	1886.92848298104	2.11544543426455	1.81246429361161	1.16716530180532	0.243143620455662	0.999273910133604
Pnkp	2230.36491028289	-0.347206579142264	2.69216988421469	-0.1289690450733	0.897382142685066	0.999273910133604
Clptm1	2671.6534690603	-0.481422449554552	1.30781979377626	-0.368110692195957	0.712790698597866	0.999273910133604
Relb	10271.4945875494	1.42076488441969	1.03387011683171	1.37421989599004	0.169373425814363	0.999273910133604
